

MESSAGE: Pygame initialized for simulation.

########## Simulation state - INI ###########

# solutions # : EMPTY 

# sensors # : 20

 ------  parameters ------  

# contact hurt (training agent) # : player

multiple mode: no

enemies list: 5

current enemy: 5

player mode: ai

enemy mode: static

level: 2

clock precision: low

inputs coded: no

random initialization: yes

expiration time: 3000

speed: fastest

load player: yes

load enemy: yes

sound: off

overture time: 100

logs: on

save logs: yes

########## Simulation state - END ###########

PARAMETER CHANGE: enemies = [5]

RUN: run status: enemy: 5; fitness: -99.96775527898211; player life: 69.40000000000029; enemy life: 100; time: 1000

RUN: run status: enemy: 5; fitness: -106.45676965557216; player life: 0; enemy life: 100; time: 637

RUN: run status: enemy: 5; fitness: -106.39359075395063; player life: 0; enemy life: 100; time: 598

RUN: run status: enemy: 5; fitness: -100.62775527898211; player life: 62.80000000000034; enemy life: 100; time: 1000

RUN: run status: enemy: 5; fitness: -99.06775527898212; player life: 78.4000000000002; enemy life: 100; time: 1000

RUN: run status: enemy: 5; fitness: -98.04775527898212; player life: 88.60000000000011; enemy life: 100; time: 1000

RUN: run status: enemy: 5; fitness: -64.54775527898211; player life: 43.60000000000029; enemy life: 80.0; time: 1000

RUN: run status: enemy: 5; fitness: -101.1077552789821; player life: 58.00000000000033; enemy life: 100; time: 1000

RUN: run status: enemy: 5; fitness: -106.28785856016178; player life: 0; enemy life: 100; time: 538

RUN: run status: enemy: 5; fitness: 89.1222695528341; player life: 49.60000000000031; enemy life: 0; time: 343

RUN: run status: enemy: 5; fitness: -101.6477552789821; player life: 52.600000000000314; enemy life: 100; time: 1000

RUN: run status: enemy: 5; fitness: -106.08904487544685; player life: 0; enemy life: 100; time: 441

RUN: run status: enemy: 5; fitness: -99.18775527898211; player life: 77.20000000000022; enemy life: 100; time: 1000

RUN: run status: enemy: 5; fitness: -102.3677552789821; player life: 45.4000000000003; enemy life: 100; time: 1000

RUN: run status: enemy: 5; fitness: -97.32775527898214; player life: 95.80000000000004; enemy life: 100; time: 1000

RUN: run status: enemy: 5; fitness: -106.39692965521614; player life: 0; enemy life: 100; time: 600

RUN: run status: enemy: 5; fitness: -103.86775527898212; player life: 30.40000000000026; enemy life: 100; time: 1000

RUN: run status: enemy: 5; fitness: -49.478509642208564; player life: 0; enemy life: 70.0; time: 651

RUN: run status: enemy: 5; fitness: -87.3491389913798; player life: 0; enemy life: 90.0; time: 572

RUN: run status: enemy: 5; fitness: -105.78775527898212; player life: 11.20000000000023; enemy life: 100; time: 1000

RUN: run status: enemy: 5; fitness: -106.26720054854137; player life: 0; enemy life: 100; time: 527

RUN: run status: enemy: 5; fitness: -100.2077552789821; player life: 67.00000000000031; enemy life: 100; time: 1000

RUN: run status: enemy: 5; fitness: 89.35788117912034; player life: 49.60000000000031; enemy life: 0; time: 271

RUN: run status: enemy: 5; fitness: -99.66775527898211; player life: 72.40000000000026; enemy life: 100; time: 1000

RUN: run status: enemy: 5; fitness: 88.66521039683077; player life: 43.00000000000029; enemy life: 0; time: 280

RUN: run status: enemy: 5; fitness: -101.5277552789821; player life: 53.80000000000032; enemy life: 100; time: 1000

RUN: run status: enemy: 5; fitness: -106.33859407820319; player life: 0; enemy life: 100; time: 566

RUN: run status: enemy: 5; fitness: -101.46775527898211; player life: 54.40000000000032; enemy life: 100; time: 1000

RUN: run status: enemy: 5; fitness: -100.8677552789821; player life: 60.40000000000033; enemy life: 100; time: 1000

