

MESSAGE: Pygame initialized for simulation.

########## Simulation state - INI ###########

# solutions # : EMPTY 

# sensors # : 20

 ------  parameters ------  

# contact hurt (training agent) # : player

multiple mode: yes

enemies list: 2 5

current enemy: 2

player mode: ai

enemy mode: static

level: 2

clock precision: low

inputs coded: no

random initialization: yes

expiration time: 3000

speed: fastest

load player: yes

load enemy: yes

sound: off

overture time: 100

logs: on

save logs: yes

########## Simulation state - END ###########

PARAMETER CHANGE: enemies = [2, 5]

RUN: run status: enemy: 5; fitness: -101.9477552789821; player life: 49.60000000000031; enemy life: 100; time: 1000

RUN: run status: enemy: 2; fitness: -105.7268477475872; player life: 0; enemy life: 100; time: 307

RUN: run status: enemy: 5; fitness: -106.47850964220856; player life: 0; enemy life: 100; time: 651

RUN: run status: enemy: 2; fitness: -29.361292165709425; player life: 0; enemy life: 60.0; time: 213

RUN: run status: enemy: 5; fitness: -78.62775527898214; player life: 92.80000000000007; enemy life: 90.0; time: 1000

RUN: run status: enemy: 2; fitness: -48.075173815233825; player life: 0; enemy life: 70.0; time: 160

RUN: run status: enemy: 5; fitness: -78.38775527898213; player life: 95.20000000000005; enemy life: 90.0; time: 1000

RUN: run status: enemy: 2; fitness: -87.49072353450251; player life: 0; enemy life: 90.0; time: 659

RUN: run status: enemy: 5; fitness: -106.0637852086876; player life: 0; enemy life: 100; time: 430

RUN: run status: enemy: 2; fitness: 27.615504937210915; player life: 0; enemy life: 30.0; time: 218

RUN: run status: enemy: 5; fitness: -11.32775527898211; player life: 5.800000000000233; enemy life: 50.0; time: 1000

RUN: run status: enemy: 2; fitness: -105.74620319054016; player life: 0; enemy life: 100; time: 313

RUN: run status: enemy: 5; fitness: -106.29710931993394; player life: 0; enemy life: 100; time: 543

RUN: run status: enemy: 2; fitness: -105.84932477994685; player life: 0; enemy life: 100; time: 347

RUN: run status: enemy: 5; fitness: -105.98645200528443; player life: 0; enemy life: 100; time: 398

RUN: run status: enemy: 2; fitness: -105.81413053182507; player life: 0; enemy life: 100; time: 335

RUN: run status: enemy: 5; fitness: -106.33327962813969; player life: 0; enemy life: 100; time: 563

RUN: run status: enemy: 2; fitness: -105.78382518232974; player life: 0; enemy life: 100; time: 325

